"","text","likes","retweets","timestamp","id"
"30","Nicolás Maduro is a dictator. I strongly condemn his regime’s violent takeover of the Venezuelan National Assembly, the country’s sole remaining democratic institution. https://t.co/mzrg9e8t5X",3151,1289,2020-01-07 20:14:00,1214641417160724480
"31","I stand with the people of Puerto Rico, our fellow citizens, in this moment of need. It’s unconscionable that so much of the hard work of disaster recovery continues to be left undone. We've got to deliver concrete support for Puerto Rico now before more lives are lost. https://t.co/b4baNN7hYj",3857,1025,2020-01-07 20:33:00,1214646310256726016
"32","Estoy con el pueblo de Puerto Rico, nuestros conciudadanos, en este momento de necesidad. Es inconcebible que gran parte del arduo trabajo de la recuperación ante desastres aún no se haya hecho. Tenemos que ofrecer apoyo concreto a Puerto Rico antes de que se pierdan más vidas. https://t.co/b4baNN7hYj",2172,588,2020-01-07 22:05:00,1214669387417952256
"33","Donald Trump says he wants to end endless wars in the Middle East, yet he is bringing us dangerously close to starting a new one. https://t.co/lTXpzBrqQR",5326,1398,2020-01-07 22:30:00,1214675579498192896
"34","I’m going to hold off on commenting on the news tonight until we know more, but there is one thing I will say: Jill and I are keeping our troops and Americans overseas in our prayers. We hope you’ll keep them in yours.",92005,10418,2020-01-08 01:37:00,1214722638733406208
"35","We have to rebuild the middle class. But this time, we have to make sure that people historically left out of the middle class — whether due to race, gender, sexual orientation, disability, or religion — have the chance to be included in our success. https://t.co/YTwf2WYOYd",2855,685,2020-01-08 18:40:00,1214980085339623424
"36","Pope Francis is absolutely right. As a nation, we have a moral obligation to ensure everyone has access to the care they need. Health care is a right for all — not a privilege for the few. https://t.co/c84y4GAMCq",13922,2781,2020-01-08 20:35:00,1215009026125303808
"37","3,820 days — that's how long it's been since the federal minimum wage was last raised. It’s unacceptable. Raising the minimum wage to $15 an hour nationwide should be just our starting point for ensuring workers receive the pay they deserve. https://t.co/pL3qZXsCJu",2870,835,2020-01-08 23:35:00,1215054324553764864
"38","Gabby is one of the strongest people I know. The resilience she has shown is remarkable. I'm inspired by her courage in turning tragedy into purpose and grateful for her relentless determination to make our country a safer place for all. https://t.co/PHlQy6cxYF",4094,720,2020-01-09 00:34:00,1215069324538499072
"39","I'm thankful no one was hurt in last night's attack. But we're only in this mess because Donald Trump pulled out of the Iran Deal (which even his advisors said was working), turned his back on our allies, and had no strategy for what comes next.",27199,4776,2020-01-09 01:26:00,1215082272682119168
"40","Instead of using his statement today to lay out a coherent strategy on Iran, Donald Trump used it to mislead the country on the Obama-Biden record. He's been President for three years. It's time he stops blaming President Obama for his failures.",11053,2064,2020-01-09 01:26:00,1215082273822953472
"41","We are so much better than who Donald Trump thinks we are. We don’t have to give in to his dark, petty, angry vision of America. We can choose to be the more perfect union we have always aspired to be — and restore the soul of this nation. https://t.co/nkD23GxirG",18878,3882,2020-01-09 15:45:00,1215298432958529536
"42","Facebook continues to put their profits over the truth — allowing politicians like Donald Trump to spend an unthinkable amount of money on paid disinformation. Our democracy is worse off for their failure to confront this. https://t.co/sKaAjHsKc7",7056,2267,2020-01-09 19:44:00,1215358611024678912
"43","This election is about the soul of America — and a nation that allows our epidemic of school shootings to continue has a troubled soul. We have to beat the @NRA and get weapons of war off our streets. Lives depend on it. https://t.co/WtSljHo3ka",2856,909,2020-01-09 22:01:00,1215393056603561984
